,date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class,predicted
223,0.000177,6,0.659574,0.072745,0.287266,0.003467,0.422915,0.414912,UP,UP
255,0.000221,7,0.319149,0.047256,0.180452,0.003467,0.422915,0.414912,DOWN,UP
287,0.000221,7,1.0,0.047106,0.293663,0.003467,0.422915,0.414912,DOWN,UP
415,0.000354,3,0.659574,0.045214,0.450164,0.003467,0.422915,0.414912,DOWN,UP
1343,0.004248,1,1.0,0.07610800000000001,0.475156,0.003467,0.422915,0.414912,UP,UP
1375,0.004292,2,0.659574,0.046806,0.505653,0.003467,0.422915,0.414912,DOWN,UP
1439,0.004336,3,1.0,0.045394,0.506397,0.003467,0.422915,0.414912,DOWN,UP
2207,0.005044,5,1.0,0.047886,0.514281,0.003467,0.422915,0.414912,DOWN,UP
2271,0.005133,7,0.319149,0.068362,0.231627,0.003467,0.422915,0.414912,UP,UP
3807,0.009646,4,0.319149,0.045605,0.631508,0.003467,0.422915,0.414912,DOWN,UP
4223,0.013053,5,1.0,0.048247000000000005,0.534216,0.003467,0.422915,0.414912,UP,UP
4511,0.013318,4,1.0,0.081002,0.598483,0.003467,0.422915,0.414912,UP,UP
4895,0.013672,5,1.0,0.051549,0.5083310000000001,0.003467,0.422915,0.414912,UP,UP
7871,0.022565,4,1.0,0.057644000000000015,0.426807,0.003467,0.422915,0.414912,DOWN,UP
8095,0.022787,2,0.659574,0.084814,0.4335020000000001,0.003467,0.422915,0.414912,DOWN,UP
8447,0.023096,2,1.0,0.101567,0.390955,0.003467,0.422915,0.414912,UP,UP
10015,0.030707,7,0.659574,0.08379400000000001,0.288158,0.003467,0.422915,0.414912,UP,UP
10111,0.030795,2,0.659574,0.111174,0.538976,0.003467,0.422915,0.414912,UP,UP
11423,0.03199,1,1.0,0.086015,0.300208,0.003467,0.422915,0.414912,UP,UP
11679,0.424671,7,0.319149,0.074817,0.203957,0.003467,0.422915,0.414912,UP,UP
15519,0.43445,3,0.319149,0.058094000000000014,0.485272,0.003467,0.422915,0.414912,UP,UP
15615,0.434538,5,0.319149,0.044314,0.249331,0.003467,0.422915,0.414912,DOWN,UP
21247,0.451971,3,0.659574,0.033626,0.560994,0.002277,0.546349,0.385088,DOWN,UP
21343,0.45206,5,0.659574,0.033145,0.501041,0.002212,0.555153,0.424561,DOWN,UP
21951,0.455688,4,0.319149,0.09211,0.6950310000000001,0.006352,0.591921,0.492982,UP,UP
24735,0.464404,6,0.319149,0.037769,0.396906,0.002607,0.431901,0.248246,UP,UP
24959,0.464581,3,1.0,0.076048,0.461619,0.005249,0.399534,0.351316,UP,UP
25247,0.477988,2,1.0,0.038009,0.450759,0.002628,0.385552,0.292982,DOWN,UP
25279,0.482412,3,0.659574,0.033746,0.456858,0.00236,0.480321,0.217105,DOWN,UP
40031,0.898633,2,1.0,0.078149,0.559357,0.005154,0.496634,0.610088,DOWN,UP
41119,0.902703,4,0.659574,0.037829,0.465933,0.0025800000000000003,0.507509,0.390789,DOWN,UP
41279,0.902836,7,1.0,0.048427,0.348706,0.003232,0.404713,0.5355260000000001,DOWN,UP
43167,0.907703,5,0.319149,0.051339,0.4666770000000001,0.003484000000000001,0.539617,0.397368,UP,UP
