ds,yhat,yhat_lower,yhat_upper
2018-08-01 12:00:00,14377.512934962766,10590.207466903283,18253.755134953917
2018-08-01 13:00:00,14442.634000201642,10435.412648834055,18510.598014781113
2018-08-01 14:00:00,14507.755066682266,10939.264404629508,18337.5833135922
2018-08-01 15:00:00,14572.876134713419,10614.312696154077,18397.230393593192
2018-08-01 16:00:00,14637.997202110742,10682.857601159007,18188.584334402833
2018-08-01 17:00:00,14703.118267686943,10739.429197278956,18653.193763720134
2018-08-01 18:00:00,14768.239332549883,11021.258223435612,18537.827016002
2018-08-01 19:00:00,14833.360398076962,10873.758101493922,18888.264245173425
2018-08-01 20:00:00,14898.481463604043,10953.771186477405,18820.848697160753
2018-08-01 21:00:00,14963.602529140793,11025.26894638146,18799.348001375394
2018-08-01 22:00:00,15028.72359649984,11156.418750392188,18899.343630487732
2018-08-01 23:00:00,15093.844663399106,11228.482239727884,18641.66189690629
2018-08-02 00:00:00,15158.965729273008,11370.344552736464,19045.25278023212
2018-08-02 01:00:00,15224.086795682832,11439.9771211262,19069.95218188906
2018-08-02 02:00:00,15289.207861855126,11587.090484720766,19341.55259476635
2018-08-02 03:00:00,15354.328927538345,11526.84544530379,19379.633566187702
2018-08-02 04:00:00,15419.449993449474,11628.376987907941,19277.580407683225
2018-08-02 05:00:00,15484.571057831841,12047.347536326002,19568.155781747675
2018-08-02 06:00:00,15549.69212396997,11880.265774340409,19454.046404805245
2018-08-02 07:00:00,15614.813188023083,11630.88184142681,19518.515358977416
2018-08-02 08:00:00,15679.934250634158,11920.002674006182,19608.77590463707
2018-08-02 09:00:00,15745.055313245233,11888.833029820375,19625.79073578255
2018-08-02 10:00:00,15810.176374602454,11794.5675396946,19678.395783040563
2018-08-02 11:00:00,15875.297436763629,11819.458698696266,20035.962137376388
2018-08-02 12:00:00,15940.418497042314,11868.680034702993,19531.99726459828
2018-08-02 13:00:00,16005.539559011835,12006.98422015933,19710.29283095014
2018-08-02 14:00:00,16070.660621109879,12216.175689809425,19697.274406753706
2018-08-02 15:00:00,16135.781681934506,12171.815079856045,20046.94842705543
2018-08-02 16:00:00,16200.902741896381,12229.12084595972,19974.509249899103
2018-08-02 17:00:00,16266.023801858255,12279.197530061836,20379.87911111857
2018-08-02 18:00:00,16331.144861820128,12414.945525558389,20351.370821096392
2018-08-02 19:00:00,16396.265921782004,12472.076817764191,20499.32348410712
2018-08-02 20:00:00,16461.38698174388,12731.07965768643,20339.273530095616
2018-08-02 21:00:00,16526.50804170575,12678.937360531781,20228.101918738765
2018-08-02 22:00:00,16591.629101667626,12749.643321932814,20538.958470714806
2018-08-03 22:00:00,18154.534540752604,14212.607851255822,22042.09531440629
2018-08-04 22:00:00,19717.439979837585,15628.456744017885,23315.69622795834
2018-08-05 22:00:00,21280.345418922563,17304.725372010926,25675.527582502586
2018-08-06 22:00:00,22843.250858007545,19192.837011798616,26873.492603804145
2018-08-07 22:00:00,24406.15629709252,20501.887936526906,28239.443283469765
2018-08-08 22:00:00,25969.0617361775,22282.834378214116,29612.2611860557
2018-08-09 22:00:00,27531.967175262478,23756.82541208288,31335.71599964531
2018-08-10 22:00:00,29094.87261434746,25389.316706960773,33157.775429765985
2018-08-11 22:00:00,30657.778053432437,26921.840771664272,34684.005844660096
2018-08-12 22:00:00,32220.68349251742,28297.47409789974,36052.72554887245
2018-08-13 22:00:00,33783.5889316024,29642.570843738795,37855.73850872984
2018-08-14 22:00:00,35346.494370687375,31721.858584367,39220.6630386116
2018-08-15 22:00:00,36909.39980977236,32983.9684021287,40687.380216071506
2018-08-16 22:00:00,38472.30524885734,34518.227780085515,42235.93115040484
2018-08-17 22:00:00,40035.21068794231,36166.55400661604,43960.16491312577
2018-08-18 22:00:00,41598.1161270273,37946.85216143938,45617.01908625874
2018-08-19 22:00:00,43161.02156611227,39473.5662945587,46835.158908513404
2018-08-20 22:00:00,44723.92700519725,41030.59750028312,48386.57368974056
2018-08-21 22:00:00,46286.83244428223,42631.03286103552,50125.47283033971
2018-08-22 22:00:00,47849.737883367205,43629.93614846596,51657.70383315975
2018-08-23 22:00:00,49412.64332245219,45561.43990743893,52962.47753892401
2018-08-24 22:00:00,50975.54876153717,47023.49204950891,54553.45683648531
2018-08-25 22:00:00,52538.454200622145,48840.0061185851,56539.32630512572
2018-08-26 22:00:00,54101.35963970712,50184.29861602727,57953.39981446095
2018-08-27 22:00:00,55664.26507879211,51766.34115439568,59312.76327966524
2018-08-28 22:00:00,57227.170517877086,53496.16813692057,61141.07479956338
2018-08-29 22:00:00,58790.075956962064,54913.73113691818,62691.09672314833
2018-08-30 22:00:00,60352.98139604705,56462.98964543879,63838.61659033132
2018-08-31 22:00:00,61915.88683513203,58110.325849217385,65201.345670556744
2018-09-01 22:00:00,63478.792274217005,59796.84680375255,67162.8205579085
