P1,P2,P3
18781.81732159913,11971.564648145257,12857.278323869206
16673.806711961304,19801.3040044178,13094.127659409209
17381.64073437694,14067.347314486513,17896.601504230883
17728.09114462521,13265.547814947702,15275.480140599993
14441.476252995308,19719.756345526643,14565.544607661303
17764.091488271206,13520.102719197408,14208.454097746077
15902.17804213637,21457.140077293734,11595.868683969818
15611.808953865322,11345.198355329938,16870.967386863158
18379.954604876988,16650.400745145227,12493.06044428124
15756.117171891026,16544.51563846827,17200.65985916744
14834.974758172744,16809.74754504163,13056.187209765825
15295.64143529181,19273.77914333071,14880.604826462955
17568.814837405662,12104.848082637349,15325.067391535078
19465.125059541162,20898.245515384537,11728.847776705059
15555.711290294486,14204.742519252657,17494.289666276272
17219.446674183317,15737.055440745055,14628.553840565317
14860.379269239404,17492.266872417316,16277.486620629468
18108.1052313363,14102.972415789533,12383.689790128119
15678.904165335236,21357.577497240374,13774.063782465542
17751.418641942146,10645.13727356641,16204.330922527388
17655.51758987655,18084.74278307464,13974.294171540412
15842.293089738327,14490.754066316795,17115.051194076263
18180.573012174376,17798.183423518953,12473.242558455087
