month_tag,IR
199101,9.53
199102,9.46
199103,9.25
199104,9.24
199105,9.23
199106,9.13
199107,9.12
199108,9.11
199109,8.93
199110,8.79
199111,8.42
199112,8.26
199201,8.05
199202,8.18
199203,8.15
199204,8.26
199205,8.22
199206,8.06
199207,7.78
199208,7.6
199209,7.48
199210,7.44
199211,7.54
199212,7.55
199301,7.51
199302,7.32
199303,7.17
199304,7.09
199305,7.09
199306,7.02
199307,6.95
199308,6.87
199309,6.75
199310,6.59
199311,6.6
199312,6.67
199401,6.74
199402,6.68
199403,6.84
199404,7.05
199405,7.31
199406,7.37
199407,7.49
199408,7.57
199409,7.56
199410,7.59
199411,7.56
199412,7.72
199501,7.8
199502,8.01
199503,8.08
199504,7.99
199505,7.86
199506,7.61
199507,7.56
199508,7.6
199509,7.59
199510,7.51
199511,7.45
199512,7.21
199601,7.17
199602,7.12
199603,7.29
199604,7.55
199605,7.71
199606,7.77
199607,7.86
199608,7.78
199609,7.78
199610,7.7
199611,7.56
199612,7.49
199701,7.58
199702,7.55
199703,7.63
199704,7.75
199705,7.77
199706,7.69
199707,7.54
199708,7.46
199709,7.45
199710,7.37
199711,7.33
199712,7.26
199801,7.12
199802,7.07
199803,7.07
199804,7.09
199805,7.08
199806,7.05
199807,7.01
199808,6.97
199809,6.87
199810,6.74
199811,6.75
199812,6.76
199901,6.78
199902,6.82
199903,6.88
199904,6.91
199905,6.93
199906,7.11
199907,7.33
199908,7.4
199909,7.47
199910,7.46
199911,7.48
199912,7.48
200001,7.7
200002,7.86
200003,7.92
200004,7.92
200005,7.99
200006,8.05
200007,7.98
200008,7.91
200009,7.81
200010,7.75
200011,7.67
200012,7.54
200101,7.23
200102,7.08
200103,7.01
200104,7
200105,7.08
200106,7.09
200107,7.09
200108,6.99
200109,6.86
200110,6.66
200111,6.56
200112,6.69
200201,6.81
200202,6.77
200203,6.76
200204,6.85
200205,6.71
200206,6.59
200207,6.46
200208,6.3
200209,6.22
200210,6.08
200211,6.02
200212,6.03
200301,5.93
200302,5.87
200303,5.75
200304,5.7
200305,5.59
200306,5.37
200307,5.36
200308,5.62
200309,5.88
200310,5.79
200311,5.8
200312,5.7
200401,5.58
200402,5.67
200403,5.42
200404,5.38
200405,5.72
200406,5.91
200407,5.88
200408,5.78
200409,5.63
200410,5.66
200411,5.7
200412,5.78
200501,5.78
200502,5.68
200503,5.76
200504,5.84
200505,5.79
200506,5.66
200507,5.68
200508,5.81
200509,5.86
200510,5.98
200511,6.19
200512,6.29
200601,6.26
200602,6.31
200603,6.44
200604,6.51
200605,6.61
200606,6.66
200607,6.76
200608,6.75
200609,6.59
200610,6.55
200611,6.45
200612,6.36
200701,6.35
200702,6.36
200703,6.29
200704,6.25
200705,6.33
200706,6.55
200707,6.71
200708,6.7
200709,6.56
200710,6.48
200711,6.34
200712,6.2
200801,5.96
200802,5.87
200803,6
200804,5.96
200805,6.02
200806,6.19
200807,6.37
200808,6.42
200809,6.13
200810,6.12
200811,6.15
200812,5.52
200901,5.12
200902,5.04
200903,5.06
200904,4.88
200905,4.88
200906,5.09
200907,5.26
200908,5.25
200909,5.16
200910,5.06
200911,5.04
200912,4.83
201001,5.17
201002,5
201003,5.04
201004,5.01
201005,5.1
201006,4.87
201007,4.87
201008,4.5
201009,4.54
201010,4.64
201011,4.74
201012,5.13
201101,5.2
201102,5.23
201103,5.25
201104,5.14
201105,4.96
201106,5.03
201107,4.77
201108,4.38
201109,4.17
201110,4.34
201111,4.33
201112,4.22
201201,4.15
201202,4.25
201203,4.43
201204,4.2
201205,3.91
201206,3.97
201207,3.86
201208,3.9
201209,3.94
201210,3.95
201211,3.88
201212,4
201301,4.19
201302,4.09
201303,4.14
201304,3.99
201305,4.33
201306,4.57
201307,4.76
201308,4.77
201309,4.72
201310,4.61
201311,4.78
201312,4.95
201401,4.8
201402,4.71
201403,4.71
201404,4.71
201405,4.71
201406,4.71
201407,4.71
201408,4.71
201409,4.71
201410,4.71
201411,4.71
201412,4.71
201501,4.71
201502,4.71
201503,4.71
201504,4.71
201505,4.71
201506,4.71
201507,4.71
201508,4.71
201509,4.71
201510,4.71
201511,4.71
201512,4.71
201601,4.71
201602,4.71
201603,4.71
201604,4.71
201605,4.71
201606,4.71
201607,4.71
201608,4.71
201609,4.71
201610,4.71
201611,4.71
201612,4.71
201701,4.71
201702,4.71
201703,4.71
201704,4.71
201705,4.71
201706,4.71
201707,4.71
201708,4.71
201709,4.71
201710,4.71
201711,4.71
201712,4.71
